,threshold,infected_agents
1582,0.375,213
1583,0.375,215
1584,0.375,212
1585,0.375,209
1586,0.375,206
1587,0.375,200
1588,0.375,196
1589,0.375,200
1590,0.375,197
1591,0.375,191
1592,0.375,184
1593,0.375,182
1594,0.375,187
1595,0.375,192
1596,0.375,192
1597,0.375,196
1598,0.375,194
1599,0.375,196
1600,0.375,197
1601,0.375,197
1602,0.375,202
1603,0.375,199
1604,0.375,193
1605,0.375,198
1606,0.375,193
1607,0.375,187
1608,0.375,194
1609,0.375,194
1610,0.375,193
1611,0.375,196
1612,0.375,196
1613,0.375,198
1614,0.375,201
1615,0.375,204
1616,0.375,200
1617,0.375,203
1618,0.375,199
1619,0.375,195
1620,0.375,202
1621,0.375,203
1622,0.375,195
1623,0.375,191
1624,0.375,196
1625,0.375,201
1626,0.375,205
1627,0.375,207
1628,0.375,202
1629,0.375,202
1630,0.375,202
1631,0.375,199
1632,0.375,205
1633,0.375,203
1634,0.375,199
1635,0.375,203
1636,0.375,193
1637,0.375,193
1638,0.375,183
1639,0.375,178
1640,0.375,188
1641,0.375,185
1642,0.375,188
1643,0.375,186
1644,0.375,195
1645,0.375,195
1646,0.375,191
1647,0.375,203
1648,0.375,204
1649,0.375,201
1650,0.375,208
1651,0.375,213
1652,0.375,213
1653,0.375,206
1654,0.375,199
1655,0.375,207
1656,0.375,205
1657,0.375,215
1658,0.375,204
